Time Entry,Time (decimal),
Maps,0.9,
ePortfolio/Resume,10.3,
Website,2.0,
Datasets,15.8,
GitHub,0.6,
Mentor,0.3,
Learning,2.5,
Mentors,9.2,
Jobs,2.7,
Grad School,4.2,
Progress Report,7.5,
Proposal,8.3,
Total,64.2,
