Description,Time (decimal)
Proposal,8.33
Ethics,3.83
ePortfolio/Resume,13.08
Viz,32.83
Package,2.00
Datasets,29.08
Data Driven,9.50
GitHub,1.75
Jobs,19.67
Progress Report,9.17
Tidy Tuesday,5.50
Website,5.33
Total,140.08
