Description,Time (decimal)
Progress Report,7.667
Tidy Tuesday,5.500
Website,4.750
Proposal,8.333
Data Driven,9.500
Viz,13.667
Datasets,23.833
Jobs,19.667
ePortfolio/Resume,12.083
GitHub,0.583
Total,105.583
