Arkansas,Poinsett,"23,528"
Arkansas,Polk,"19,964"
Arkansas,Pope,"64,072"
Arkansas,Prairie,"8,062"
Arkansas,Pulaski,"391,911"
Arkansas,Randolph,"17,958"
Arkansas,St. Francis,"24,994"
Arkansas,Saline,"122,437"
Arkansas,Scott,"10,281"
Arkansas,Searcy,"7,881"
Arkansas,Sebastian,"127,827"
Arkansas,Sevier,"17,007"
Arkansas,Sharp,"17,442"
Arkansas,Stone,"12,506"
Arkansas,Union,"38,682"
Arkansas,Van Buren,"16,545"
Arkansas,Washington,"239,187"
Arkansas,White,"78,753"
Arkansas,Woodruff,"6,320"
Arkansas,Yell,"21,341"
California,Alameda,"1,671,329"
California,Alpine,"1,129"
California,Amador,"39,752"
California,Butte,"219,186"
California,Calaveras,"45,905"
California,Colusa,"21,547"
California,Contra Costa,"1,153,526"
California,Del Norte,"27,812"
California,El Dorado,"192,843"
California,Fresno,"999,101"
California,Glenn,"28,393"
California,Humboldt,"135,558"
California,Imperial,"181,215"
California,Inyo,"18,039"
California,Kern,"900,202"
California,Kings,"152,940"
California,Lake,"64,386"
California,Lassen,"30,573"
California,Los Angeles,"10,039,107"
California,Madera,"157,327"
California,Marin,"258,826"
California,Mariposa,"17,203"
California,Mendocino,"86,749"
California,Merced,"277,680"
California,Modoc,"8,841"
California,Mono,"14,444"
California,Monterey,"434,061"
California,Napa,"137,744"
California,Nevada,"99,755"
California,Orange,"3,175,692"
California,Placer,"398,329"
California,Plumas,"18,807"
California,Riverside,"2,470,546"
California,Sacramento,"1,552,058"
California,San Benito,"62,808"
California,San Bernardino,"2,180,085"
California,San Diego,"3,338,330"
California,San Francisco,"881,549"
California,San Joaquin,"762,148"
California,San Luis Obispo,"283,111"
California,San Mateo,"766,573"
California,Santa Barbara,"446,499"
California,Santa Clara,"1,927,852"
California,Santa Cruz,"273,213"
California,Shasta,"180,080"
California,Sierra,"3,005"
California,Siskiyou,"43,539"
California,Solano,"447,643"
California,Sonoma,"494,336"
California,Stanislaus,"550,660"
California,Sutter,"96,971"
California,Tehama,"65,084"
California,Trinity,"12,285"
California,Tulare,"466,195"
California,Tuolumne,"54,478"
California,Ventura,"846,006"
California,Yolo,"220,500"
California,Yuba,"78,668"
Colorado,Adams,"517,421"
Colorado,Alamosa,"16,233"
Colorado,Arapahoe,"656,590"
Colorado,Archuleta,"14,029"
Colorado,Baca,"3,581"
Colorado,Bent,"5,577"
Colorado,Boulder,"326,196"
Colorado,Broomfield,"70,465"
Colorado,Chaffee,"20,356"
Colorado,Cheyenne,"1,831"
Colorado,Clear Creek,"9,700"
Colorado,Conejos,"8,205"
Colorado,Costilla,"3,887"
Colorado,Crowley,"6,061"
Colorado,Custer,"5,068"
Colorado,Delta,"31,162"
Colorado,Denver,"727,211"
Colorado,Dolores,"2,055"
Colorado,Douglas,"351,154"
Colorado,Eagle,"55,127"
Colorado,Elbert,"26,729"
Colorado,El Paso,"720,403"
Colorado,Fremont,"47,839"
Colorado,Garfield,"60,061"
Colorado,Gilpin,"6,243"
Colorado,Grand,"15,734"
Colorado,Gunnison,"17,462"
Colorado,Hinsdale,820
Colorado,Huerfano,"6,897"
Colorado,Jackson,"1,392"
Colorado,Jefferson,"582,881"
Colorado,Kiowa,"1,406"
Colorado,Kit Carson,"7,097"
Colorado,Lake,"8,127"
