date,cases,deaths,active,recovered
2020-07-08,213562,13727,NA,NA
2020-07-09,214363,13741,NA,NA
2020-07-10,215055,13758,NA,NA
2020-07-11,215801,13769,NA,NA
2020-07-12,216244,13780,NA,NA
2020-07-13,217395,13790,NA,NA
2020-07-14,218169,13805,NA,NA
2020-07-15,218957,13823,NA,NA
2020-07-16,220040,13845,NA,NA
2020-07-17,220802,13856,NA,NA
2020-07-18,221644,13871,NA,NA
2020-07-19,222213,13876,NA,NA
2020-07-20,223469,13887,NA,NA
