state,country,date,deaths
Australian Capital Territory,Australia,6/16/20,3
Australian Capital Territory,Australia,6/17/20,3
Australian Capital Territory,Australia,6/18/20,3
Australian Capital Territory,Australia,6/19/20,3
Australian Capital Territory,Australia,6/20/20,3
Australian Capital Territory,Australia,6/21/20,3
Australian Capital Territory,Australia,6/22/20,3
Australian Capital Territory,Australia,6/23/20,3
Australian Capital Territory,Australia,6/24/20,3
Australian Capital Territory,Australia,6/25/20,3
Australian Capital Territory,Australia,6/26/20,3
Australian Capital Territory,Australia,6/27/20,3
Australian Capital Territory,Australia,6/28/20,3
Australian Capital Territory,Australia,6/29/20,3
Australian Capital Territory,Australia,6/30/20,3
Australian Capital Territory,Australia,7/1/20,3
Australian Capital Territory,Australia,7/2/20,3
Australian Capital Territory,Australia,7/3/20,3
Australian Capital Territory,Australia,7/4/20,3
Australian Capital Territory,Australia,7/5/20,3
Australian Capital Territory,Australia,7/6/20,3
Australian Capital Territory,Australia,7/7/20,3
Australian Capital Territory,Australia,7/8/20,3
Australian Capital Territory,Australia,7/9/20,3
Australian Capital Territory,Australia,7/10/20,3
Australian Capital Territory,Australia,7/11/20,3
Australian Capital Territory,Australia,7/12/20,3
Australian Capital Territory,Australia,7/13/20,3
Australian Capital Territory,Australia,7/14/20,3
Australian Capital Territory,Australia,7/15/20,3
Australian Capital Territory,Australia,7/16/20,3
New South Wales,Australia,1/22/20,0
New South Wales,Australia,1/23/20,0
New South Wales,Australia,1/24/20,0
New South Wales,Australia,1/25/20,0
New South Wales,Australia,1/26/20,0
New South Wales,Australia,1/27/20,0
New South Wales,Australia,1/28/20,0
New South Wales,Australia,1/29/20,0
New South Wales,Australia,1/30/20,0
New South Wales,Australia,1/31/20,0
New South Wales,Australia,2/1/20,0
New South Wales,Australia,2/2/20,0
New South Wales,Australia,2/3/20,0
New South Wales,Australia,2/4/20,0
New South Wales,Australia,2/5/20,0
New South Wales,Australia,2/6/20,0
New South Wales,Australia,2/7/20,0
New South Wales,Australia,2/8/20,0
New South Wales,Australia,2/9/20,0
New South Wales,Australia,2/10/20,0
New South Wales,Australia,2/11/20,0
New South Wales,Australia,2/12/20,0
New South Wales,Australia,2/13/20,0
New South Wales,Australia,2/14/20,0
New South Wales,Australia,2/15/20,0
New South Wales,Australia,2/16/20,0
New South Wales,Australia,2/17/20,0
New South Wales,Australia,2/18/20,0
New South Wales,Australia,2/19/20,0
New South Wales,Australia,2/20/20,0
New South Wales,Australia,2/21/20,0
New South Wales,Australia,2/22/20,0
New South Wales,Australia,2/23/20,0
New South Wales,Australia,2/24/20,0
New South Wales,Australia,2/25/20,0
New South Wales,Australia,2/26/20,0
New South Wales,Australia,2/27/20,0
New South Wales,Australia,2/28/20,0
New South Wales,Australia,2/29/20,0
New South Wales,Australia,3/1/20,0
New South Wales,Australia,3/2/20,0
New South Wales,Australia,3/3/20,0
New South Wales,Australia,3/4/20,1
New South Wales,Australia,3/5/20,1
New South Wales,Australia,3/6/20,1
New South Wales,Australia,3/7/20,1
New South Wales,Australia,3/8/20,2
New South Wales,Australia,3/9/20,2
New South Wales,Australia,3/10/20,2
New South Wales,Australia,3/11/20,2
New South Wales,Australia,3/12/20,2
New South Wales,Australia,3/13/20,2
New South Wales,Australia,3/14/20,2
New South Wales,Australia,3/15/20,2
New South Wales,Australia,3/16/20,2
New South Wales,Australia,3/17/20,4
New South Wales,Australia,3/18/20,5
New South Wales,Australia,3/19/20,5
New South Wales,Australia,3/20/20,6
New South Wales,Australia,3/21/20,6
New South Wales,Australia,3/22/20,6
New South Wales,Australia,3/23/20,6
New South Wales,Australia,3/24/20,7
New South Wales,Australia,3/25/20,7
New South Wales,Australia,3/26/20,7
New South Wales,Australia,3/27/20,7
New South Wales,Australia,3/28/20,8
New South Wales,Australia,3/29/20,8
New South Wales,Australia,3/30/20,8
New South Wales,Australia,3/31/20,8
New South Wales,Australia,4/1/20,9
New South Wales,Australia,4/2/20,10
New South Wales,Australia,4/3/20,12
New South Wales,Australia,4/4/20,12
New South Wales,Australia,4/5/20,16
New South Wales,Australia,4/6/20,18
New South Wales,Australia,4/7/20,21
New South Wales,Australia,4/8/20,21
New South Wales,Australia,4/9/20,21
New South Wales,Australia,4/10/20,22
New South Wales,Australia,4/11/20,23
New South Wales,Australia,4/12/20,24
New South Wales,Australia,4/13/20,25
New South Wales,Australia,4/14/20,25
New South Wales,Australia,4/15/20,25
New South Wales,Australia,4/16/20,25
New South Wales,Australia,4/17/20,26
New South Wales,Australia,4/18/20,26
New South Wales,Australia,4/19/20,26
New South Wales,Australia,4/20/20,26
New South Wales,Australia,4/21/20,26
New South Wales,Australia,4/22/20,26
New South Wales,Australia,4/23/20,31
New South Wales,Australia,4/24/20,33
New South Wales,Australia,4/25/20,33
New South Wales,Australia,4/26/20,34
New South Wales,Australia,4/27/20,34
New South Wales,Australia,4/28/20,39
New South Wales,Australia,4/29/20,40
New South Wales,Australia,4/30/20,41
New South Wales,Australia,5/1/20,41
New South Wales,Australia,5/2/20,42
New South Wales,Australia,5/3/20,42
New South Wales,Australia,5/4/20,43
New South Wales,Australia,5/5/20,44
New South Wales,Australia,5/6/20,44
New South Wales,Australia,5/7/20,44
New South Wales,Australia,5/8/20,44
New South Wales,Australia,5/9/20,44
New South Wales,Australia,5/10/20,44
New South Wales,Australia,5/11/20,44
New South Wales,Australia,5/12/20,45
New South Wales,Australia,5/13/20,45
New South Wales,Australia,5/14/20,45
New South Wales,Australia,5/15/20,45
New South Wales,Australia,5/16/20,45
New South Wales,Australia,5/17/20,46
New South Wales,Australia,5/18/20,46
New South Wales,Australia,5/19/20,47
New South Wales,Australia,5/20/20,47
New South Wales,Australia,5/21/20,48
New South Wales,Australia,5/22/20,48
New South Wales,Australia,5/23/20,48
New South Wales,Australia,5/24/20,48
New South Wales,Australia,5/25/20,48
New South Wales,Australia,5/26/20,48
New South Wales,Australia,5/27/20,48
New South Wales,Australia,5/28/20,48
New South Wales,Australia,5/29/20,48
New South Wales,Australia,5/30/20,48
New South Wales,Australia,5/31/20,48
New South Wales,Australia,6/1/20,48
New South Wales,Australia,6/2/20,48
New South Wales,Australia,6/3/20,48
New South Wales,Australia,6/4/20,48
New South Wales,Australia,6/5/20,48
New South Wales,Australia,6/6/20,48
New South Wales,Australia,6/7/20,48
New South Wales,Australia,6/8/20,48
New South Wales,Australia,6/9/20,48
New South Wales,Australia,6/10/20,48
New South Wales,Australia,6/11/20,48
New South Wales,Australia,6/12/20,48
New South Wales,Australia,6/13/20,48
New South Wales,Australia,6/14/20,48
New South Wales,Australia,6/15/20,48
New South Wales,Australia,6/16/20,48
New South Wales,Australia,6/17/20,48
New South Wales,Australia,6/18/20,48
New South Wales,Australia,6/19/20,48
New South Wales,Australia,6/20/20,48
New South Wales,Australia,6/21/20,48
New South Wales,Australia,6/22/20,48
New South Wales,Australia,6/23/20,48
New South Wales,Australia,6/24/20,49
New South Wales,Australia,6/25/20,49
New South Wales,Australia,6/26/20,49
New South Wales,Australia,6/27/20,49
New South Wales,Australia,6/28/20,49
New South Wales,Australia,6/29/20,49
New South Wales,Australia,6/30/20,49
New South Wales,Australia,7/1/20,49
New South Wales,Australia,7/2/20,49
New South Wales,Australia,7/3/20,49
New South Wales,Australia,7/4/20,49
New South Wales,Australia,7/5/20,49
New South Wales,Australia,7/6/20,49
New South Wales,Australia,7/7/20,49
New South Wales,Australia,7/8/20,49
New South Wales,Australia,7/9/20,49
New South Wales,Australia,7/10/20,49
New South Wales,Australia,7/11/20,49
New South Wales,Australia,7/12/20,49
New South Wales,Australia,7/13/20,49
New South Wales,Australia,7/14/20,49
New South Wales,Australia,7/15/20,49
New South Wales,Australia,7/16/20,49
Northern Territory,Australia,1/22/20,0
Northern Territory,Australia,1/23/20,0
Northern Territory,Australia,1/24/20,0
Northern Territory,Australia,1/25/20,0
Northern Territory,Australia,1/26/20,0
Northern Territory,Australia,1/27/20,0
Northern Territory,Australia,1/28/20,0
Northern Territory,Australia,1/29/20,0
Northern Territory,Australia,1/30/20,0
Northern Territory,Australia,1/31/20,0
Northern Territory,Australia,2/1/20,0
Northern Territory,Australia,2/2/20,0
Northern Territory,Australia,2/3/20,0
Northern Territory,Australia,2/4/20,0
Northern Territory,Australia,2/5/20,0
Northern Territory,Australia,2/6/20,0
Northern Territory,Australia,2/7/20,0
Northern Territory,Australia,2/8/20,0
Northern Territory,Australia,2/9/20,0
Northern Territory,Australia,2/10/20,0
Northern Territory,Australia,2/11/20,0
Northern Territory,Australia,2/12/20,0
Northern Territory,Australia,2/13/20,0
Northern Territory,Australia,2/14/20,0
Northern Territory,Australia,2/15/20,0
Northern Territory,Australia,2/16/20,0
Northern Territory,Australia,2/17/20,0
Northern Territory,Australia,2/18/20,0
Northern Territory,Australia,2/19/20,0
Northern Territory,Australia,2/20/20,0
Northern Territory,Australia,2/21/20,0
Northern Territory,Australia,2/22/20,0
Northern Territory,Australia,2/23/20,0
Northern Territory,Australia,2/24/20,0
Northern Territory,Australia,2/25/20,0
Northern Territory,Australia,2/26/20,0
Northern Territory,Australia,2/27/20,0
Northern Territory,Australia,2/28/20,0
Northern Territory,Australia,2/29/20,0
Northern Territory,Australia,3/1/20,0
Northern Territory,Australia,3/2/20,0
Northern Territory,Australia,3/3/20,0
Northern Territory,Australia,3/4/20,0
Northern Territory,Australia,3/5/20,0
Northern Territory,Australia,3/6/20,0
Northern Territory,Australia,3/7/20,0
Northern Territory,Australia,3/8/20,0
Northern Territory,Australia,3/9/20,0
Northern Territory,Australia,3/10/20,0
Northern Territory,Australia,3/11/20,0
Northern Territory,Australia,3/12/20,0
Northern Territory,Australia,3/13/20,0
Northern Territory,Australia,3/14/20,0
Northern Territory,Australia,3/15/20,0
Northern Territory,Australia,3/16/20,0
Northern Territory,Australia,3/17/20,0
Northern Territory,Australia,3/18/20,0
Northern Territory,Australia,3/19/20,0
Northern Territory,Australia,3/20/20,0
Northern Territory,Australia,3/21/20,0
Northern Territory,Australia,3/22/20,0
Northern Territory,Australia,3/23/20,0
Northern Territory,Australia,3/24/20,0
Northern Territory,Australia,3/25/20,0
Northern Territory,Australia,3/26/20,0
Northern Territory,Australia,3/27/20,0
Northern Territory,Australia,3/28/20,0
Northern Territory,Australia,3/29/20,0
Northern Territory,Australia,3/30/20,0
Northern Territory,Australia,3/31/20,0
Northern Territory,Australia,4/1/20,0
Northern Territory,Australia,4/2/20,0
Northern Territory,Australia,4/3/20,0
Northern Territory,Australia,4/4/20,0
Northern Territory,Australia,4/5/20,0
Northern Territory,Australia,4/6/20,0
Northern Territory,Australia,4/7/20,0
Northern Territory,Australia,4/8/20,0
Northern Territory,Australia,4/9/20,0
Northern Territory,Australia,4/10/20,0
Northern Territory,Australia,4/11/20,0
Northern Territory,Australia,4/12/20,0
Northern Territory,Australia,4/13/20,0
Northern Territory,Australia,4/14/20,0
Northern Territory,Australia,4/15/20,0
Northern Territory,Australia,4/16/20,0
Northern Territory,Australia,4/17/20,0
Northern Territory,Australia,4/18/20,0
Northern Territory,Australia,4/19/20,0
Northern Territory,Australia,4/20/20,0
