continent,date,total_cases,total_deaths,total_tests,new_cases,new_deaths,new_tests
NA,2020-02-17,142664,3550,NA,4134,212,NA
NA,2020-02-18,146654,3746,NA,3990,196,NA
NA,2020-02-19,150381,4024,NA,3728,278,NA
NA,2020-02-20,151445,4256,NA,1064,232,NA
NA,2020-02-21,153438,4494,NA,1992,238,NA
NA,2020-02-22,155608,4718,NA,2170,224,NA
NA,2020-02-23,157624,4926,NA,2016,208,NA
NA,2020-02-24,158677,5238,NA,1054,312,NA
NA,2020-02-25,160263,5396,NA,1586,158,NA
NA,2020-02-26,161993,5524,NA,1730,128,NA
NA,2020-02-27,164212,5600,NA,2218,76,NA
NA,2020-02-28,166750,5714,NA,2538,114,NA
NA,2020-02-29,170444,5842,NA,3694,128,NA
NA,2020-03-01,174080,5958,NA,3636,116,NA
NA,2020-03-02,178266,6092,NA,4187,134,NA
NA,2020-03-03,180990,6227,NA,3656,144,NA
NA,2020-03-04,185591,6396,NA,4556,168,NA
NA,2020-03-05,190187,6556,NA,4623,160,NA
NA,2020-03-06,196336,6760,NA,6037,204,NA
NA,2020-03-07,204471,6968,NA,8231,208,NA
NA,2020-03-08,212289,7162,NA,7830,193,NA
NA,2020-03-09,220584,7618,NA,8299,456,NA
NA,2020-03-10,230651,8035,NA,9455,418,NA
NA,2020-03-11,240071,8585,NA,9891,549,NA
NA,2020-03-12,255114,9230,NA,15140,645,NA
NA,2020-03-13,272951,9930,NA,18125,702,NA
NA,2020-03-14,292945,10816,NA,19770,886,NA
NA,2020-03-15,317106,11546,NA,24032,729,NA
NA,2020-03-16,341933,13060,NA,24425,1512,NA
NA,2020-03-17,369715,14283,NA,27523,1218,NA
NA,2020-03-18,402960,15928,NA,33114,1644,NA
NA,2020-03-19,442795,17844,NA,39686,1916,NA
NA,2020-03-20,503805,19968,NA,60766,2127,NA
NA,2020-03-21,566332,22744,NA,62359,2772,NA
NA,2020-03-22,633417,26147,NA,67015,3401,NA
NA,2020-03-23,700250,29503,NA,66862,3391,NA
NA,2020-03-24,787066,33173,NA,86726,3665,NA
NA,2020-03-25,871077,37880,NA,82472,4638,NA
NA,2020-03-26,976719,43124,NA,104934,5231,NA
NA,2020-03-27,1095961,48772,NA,119836,5646,NA
NA,2020-03-28,1224219,55646,NA,128514,6950,NA
NA,2020-03-29,1347830,62751,NA,123520,7106,NA
NA,2020-03-30,1460575,69154,NA,112712,6402,NA
NA,2020-03-31,1588357,77119,NA,127723,7964,NA
NA,2020-04-01,1734147,86447,NA,145474,9325,NA
NA,2020-04-02,1887129,96355,NA,152733,9902,NA
NA,2020-04-03,2037690,106279,NA,152297,9967,NA
NA,2020-04-04,2198906,119754,NA,160904,13473,NA
NA,2020-04-05,2368025,132339,NA,167236,12403,NA
NA,2020-04-06,2502589,141821,NA,134403,9481,NA
NA,2020-04-07,2646139,152326,NA,144379,10690,NA
NA,2020-04-08,2794166,167374,NA,147969,15043,NA
NA,2020-04-09,2959756,180256,NA,167300,12895,NA
NA,2020-04-10,3130681,195091,NA,170272,14812,NA
NA,2020-04-11,3306064,208958,NA,175383,13867,NA
NA,2020-04-12,3464854,220889,NA,158532,11931,NA
NA,2020-04-13,3602358,231328,NA,137615,10440,NA
NA,2020-04-14,3730675,241881,NA,128289,10552,NA
NA,2020-04-15,3882989,256925,NA,152577,15044,NA
NA,2020-04-16,4038189,277750,NA,154842,20819,NA
NA,2020-04-17,4201453,294585,NA,163327,16838,NA
NA,2020-04-18,4361759,311342,NA,160391,16761,NA
NA,2020-04-19,4515540,323941,NA,154418,12607,NA
NA,2020-04-20,4680424,334503,NA,140345,9887,NA
NA,2020-04-21,4829382,345189,NA,148958,10686,NA
NA,2020-04-22,4989420,359391,NA,169250,14394,NA
NA,2020-04-23,5118910,371242,NA,129489,11851,NA
NA,2020-04-24,5256641,385578,NA,149291,14521,NA
NA,2020-04-25,5397943,396100,NA,140982,10508,NA
NA,2020-04-26,5592643,408270,NA,194709,12162,NA
NA,2020-04-27,5753512,415883,NA,160869,7613,NA
NA,2020-04-28,5857723,424788,NA,126929,9489,NA
NA,2020-04-29,5993978,437298,NA,136255,12510,NA
NA,2020-04-30,6143781,450167,NA,149803,12869,NA
NA,2020-05-01,6305918,460949,NA,162391,10794,NA
NA,2020-05-02,6480356,472138,NA,174322,11180,NA
NA,2020-05-03,6634247,481170,NA,154014,9041,NA
NA,2020-05-04,6781468,488153,NA,147221,6983,NA
NA,2020-05-05,6957061,497322,NA,146055,7605,NA
NA,2020-05-06,7108863,508766,NA,151312,11420,NA
NA,2020-05-07,7250596,519047,NA,173759,11854,NA
NA,2020-05-08,7428209,530029,NA,177613,10982,NA
NA,2020-05-09,7599741,540031,NA,171942,10027,NA
NA,2020-05-10,7798240,550240,NA,169681,8505,NA
NA,2020-05-11,7937304,556718,NA,143327,6500,NA
NA,2020-05-12,8070083,563551,NA,133018,6838,NA
NA,2020-05-13,8199864,572218,NA,159327,10816,NA
NA,2020-05-14,8392344,584337,NA,161295,9765,NA
NA,2020-05-15,8544296,592239,NA,182164,10230,NA
NA,2020-05-16,8734118,601825,NA,183571,9524,NA
NA,2020-05-17,8909213,609745,NA,174892,7920,NA
NA,2020-05-18,9050931,615128,NA,148283,5462,NA
NA,2020-05-19,9210765,621156,NA,160378,6033,NA
NA,2020-05-20,9386161,630958,NA,175396,9802,NA
NA,2020-05-21,9589695,641062,NA,184673,8878,NA
NA,2020-05-22,9788675,651203,NA,198980,10141,NA
NA,2020-05-23,9965679,658449,NA,196456,8479,NA
NA,2020-05-24,10149580,665962,NA,183468,7508,NA
NA,2020-05-25,10319648,666996,NA,171260,1084,NA
NA,2020-05-26,10481259,673148,NA,162137,6153,NA
NA,2020-05-27,10657690,680203,NA,176431,7055,NA
NA,2020-05-28,10844085,689633,NA,186449,9434,NA
NA,2020-05-29,11061076,698209,NA,216991,8576,NA
NA,2020-05-30,11287325,706960,NA,224631,8693,NA
NA,2020-05-31,11521536,714278,NA,234211,7318,NA
NA,2020-06-01,11712973,719407,NA,193325,5192,NA
NA,2020-06-02,11891658,725900,NA,178685,6493,NA
NA,2020-06-03,12092699,734251,NA,200584,8351,NA
NA,2020-06-04,12321265,743926,NA,227222,9661,NA
NA,2020-06-05,12548731,752952,NA,227973,9026,NA
NA,2020-06-06,12787459,761238,NA,238728,8286,NA
NA,2020-06-07,13011045,767930,NA,223586,6692,NA
NA,2020-06-08,13214754,774229,NA,205643,6319,NA
NA,2020-06-09,13399586,779656,NA,184832,5427,NA
NA,2020-06-10,13621731,788266,NA,222145,8610,NA
NA,2020-06-11,13857739,797345,NA,236008,9079,NA
NA,2020-06-12,14104810,805656,NA,244565,8276,NA
NA,2020-06-13,14356421,813745,NA,251611,8089,NA
NA,2020-06-14,14625031,823102,NA,235119,7356,NA
NA,2020-06-15,14842279,828495,NA,211913,5375,NA
NA,2020-06-16,15027194,831968,NA,208383,5530,NA
NA,2020-06-17,15281689,842650,NA,250768,10578,NA
NA,2020-06-18,15595887,851635,NA,317348,9012,NA
NA,2020-06-19,15847890,862780,NA,240307,11159,NA
NA,2020-06-20,16168045,871352,NA,316201,8507,NA
NA,2020-06-21,16440480,878619,NA,285638,7337,NA
NA,2020-06-22,16657771,884649,NA,221760,6102,NA
NA,2020-06-23,16943139,892663,NA,238320,5499,NA
NA,2020-06-24,17236287,902181,NA,293148,9518,NA
NA,2020-06-25,17537830,910765,NA,301543,8584,NA
NA,2020-06-26,17858765,922684,NA,320935,11919,NA
NA,2020-06-27,18194266,930587,NA,335501,7903,NA
NA,2020-06-28,18511210,938485,NA,316944,7898,NA
NA,2020-06-29,19339378,960085,NA,297367,5490,NA
NA,2020-06-30,19983240,997307,NA,306267,7094,NA
NA,2020-07-01,20504289,1011129,NA,376142,11279,NA
NA,2020-07-02,21097584,1025194,NA,394107,9766,NA
NA,2020-07-03,21474222,1035651,NA,351527,10185,NA
NA,2020-07-04,21943647,1050492,NA,409957,10202,NA
NA,2020-07-05,22319480,1059150,NA,375833,8658,NA
NA,2020-07-06,22676325,1065863,NA,355220,6705,NA
NA,2020-07-07,23189632,1075623,NA,350890,7708,NA
NA,2020-07-08,23350784,1059405,NA,413282,12174,NA
